ID,area,perimeter,compactness,lengthOfKernel,widthOfKernel,asymmetryCoefficient,lengthOfKernelGroove,class
1,15.26,14.84,871.0,5763.0,3312.0,2221.0,5.22,Kama
2,14.88,14.57,0.8811,5554.0,3333.0,1018.0,4956.0,Kama
3,14.29,14.09,905.0,5291.0,3337.0,2699.0,4825.0,Kama
4,13.84,13.94,0.8955,5324.0,3379.0,2259.0,4805.0,Kama
5,16.14,14.99,0.9034,5658.0,3562.0,1355.0,5175.0,Kama
6,14.38,14.21,0.8951,5386.0,3312.0,2462.0,4956.0,Kama
7,14.69,14.49,0.8799,5563.0,3259.0,3586.0,5219.0,Kama
8,14.11,14.1,0.8911,5.42,3302.0,2.7,5.0,Kama
9,16.63,15.46,0.8747,6053.0,3465.0,2.04,5877.0,Kama
10,16.44,15.25,888.0,5884.0,3505.0,1969.0,5533.0,Kama
11,15.26,14.85,0.8696,5714.0,3242.0,4543.0,5314.0,Kama
12,14.03,14.16,0.8796,5438.0,3201.0,1717.0,5001.0,Kama
13,13.89,14.02,888.0,5439.0,3199.0,3986.0,4738.0,Kama
14,13.78,14.06,0.8759,5479.0,3156.0,3136.0,4872.0,Kama
15,13.74,14.05,0.8744,5482.0,3114.0,2932.0,4825.0,Kama
16,14.59,14.28,0.8993,5351.0,3333.0,4185.0,4781.0,Kama
17,13.99,13.83,0.9183,5119.0,3383.0,5234.0,4781.0,Kama
18,15.69,14.75,0.9058,5527.0,3514.0,1599.0,5046.0,Kama
19,14.7,14.21,0.9153,5205.0,3466.0,1767.0,4649.0,Kama
20,12.72,13.57,0.8686,5226.0,3049.0,4102.0,4914.0,Kama
21,14.16,14.4,0.8584,5658.0,3129.0,3072.0,5176.0,Kama
22,14.11,14.26,0.8722,5.52,3168.0,2688.0,5219.0,Kama
23,15.88,14.9,0.8988,5618.0,3507.0,0.7651,5091.0,Kama
24,12.08,13.23,0.8664,5099.0,2936.0,1415.0,4961.0,Kama
25,15.01,14.76,0.8657,5789.0,3245.0,1791.0,5001.0,Kama
26,16.19,15.16,0.8849,5833.0,3421.0,903.0,5307.0,Kama
27,13.02,13.76,0.8641,5395.0,3026.0,3373.0,4825.0,Kama
28,12.74,13.67,0.8564,5395.0,2956.0,2504.0,4869.0,Kama
29,14.11,14.18,882.0,5541.0,3221.0,2754.0,5038.0,Kama
30,13.45,14.02,0.8604,5516.0,3065.0,3531.0,5097.0,Kama
31,13.16,13.82,0.8662,5454.0,2975.0,0.8551,5056.0,Kama
32,15.49,14.94,0.8724,5757.0,3371.0,3412.0,5228.0,Kama
33,14.09,14.41,0.8529,5717.0,3186.0,3.92,5299.0,Kama
34,13.94,14.17,0.8728,5585.0,3.15,2124.0,5012.0,Kama
35,15.05,14.68,0.8779,5712.0,3328.0,2129.0,5.36,Kama
36,16.12,15.0,0.9,5709.0,3485.0,2.27,5443.0,Kama
37,16.2,15.27,0.8734,5826.0,3464.0,2823.0,5527.0,Kama
38,17.08,15.38,0.9079,5832.0,3683.0,2956.0,5484.0,Kama
39,14.8,14.52,0.8823,5656.0,3288.0,3112.0,5309.0,Kama
40,14.28,14.17,0.8944,5397.0,3298.0,6685.0,5001.0,Kama
41,13.54,13.85,0.8871,5348.0,3156.0,2587.0,5178.0,Kama
42,13.5,13.85,0.8852,5351.0,3158.0,2249.0,5176.0,Kama
43,13.16,13.55,0.9009,5138.0,3201.0,2461.0,4783.0,Kama
44,15.5,14.86,882.0,5877.0,3396.0,4711.0,5528.0,Kama
45,15.11,14.54,0.8986,5579.0,3462.0,3128.0,5.18,Kama
46,13.8,14.04,0.8794,5376.0,3155.0,1.56,4961.0,Kama
47,15.36,14.76,0.8861,5701.0,3393.0,1367.0,5132.0,Kama
48,14.99,14.56,0.8883,5.57,3377.0,2958.0,5175.0,Kama
49,14.79,14.52,0.8819,5545.0,3291.0,2704.0,5111.0,Kama
50,14.86,14.67,0.8676,5678.0,3258.0,2129.0,5351.0,Kama
51,14.43,14.4,0.8751,5585.0,3272.0,3975.0,5144.0,Kama
52,15.78,14.91,0.8923,5674.0,3434.0,5593.0,5136.0,Kama
53,14.49,14.61,0.8538,5715.0,3113.0,4116.0,5396.0,Kama
54,14.33,14.28,0.8831,5504.0,3199.0,3328.0,5224.0,Kama
55,14.52,14.6,0.8557,5741.0,3113.0,1481.0,5487.0,Kama
56,15.03,14.77,0.8658,5702.0,3212.0,1933.0,5439.0,Kama
57,14.46,14.35,0.8818,5388.0,3377.0,2802.0,5044.0,Kama
58,14.92,14.43,0.9006,5384.0,3412.0,1142.0,5088.0,Kama
59,15.38,14.77,0.8857,5662.0,3419.0,1999.0,5222.0,Kama
60,12.11,13.47,0.8392,5159.0,3032.0,1502.0,4519.0,Kama
61,11.42,12.86,0.8683,5008.0,2.85,2.7,4607.0,Kama
62,11.23,12.63,884.0,4902.0,2879.0,2269.0,4703.0,Kama
63,12.36,13.19,0.8923,5076.0,3042.0,3.22,4605.0,Kama
64,13.22,13.84,868.0,5395.0,3.07,4157.0,5088.0,Kama
65,12.78,13.57,0.8716,5262.0,3026.0,1176.0,4782.0,Kama
66,12.88,13.5,0.8879,5139.0,3119.0,2352.0,4607.0,Kama
67,14.34,14.37,0.8726,5.63,3.19,1313.0,5.15,Kama
68,14.01,14.29,0.8625,5609.0,3158.0,2217.0,5132.0,Kama
69,14.37,14.39,0.8726,5569.0,3153.0,1464.0,5.3,Kama
70,12.73,13.75,0.8458,5412.0,2882.0,3533.0,5067.0,Kama
71,17.63,15.98,0.8673,6191.0,3561.0,4076.0,6.06,Rosa
72,16.84,15.67,0.8623,5998.0,3484.0,4675.0,5877.0,Rosa
73,17.26,15.73,0.8763,5978.0,3594.0,4539.0,5791.0,Rosa
74,19.11,16.26,0.9081,6154.0,3.93,2936.0,6079.0,Rosa
75,16.82,15.51,0.8786,6017.0,3486.0,4004.0,5841.0,Rosa
76,16.77,15.62,0.8638,5927.0,3438.0,4.92,5795.0,Rosa
77,17.32,15.91,0.8599,6064.0,3403.0,3824.0,5922.0,Rosa
78,20.71,17.23,0.8763,6579.0,3814.0,4451.0,6451.0,Rosa
79,18.94,16.49,875.0,6445.0,3639.0,5064.0,6362.0,Rosa
80,17.12,15.55,0.8892,5.85,3566.0,2858.0,5746.0,Rosa
81,16.53,15.34,0.8823,5875.0,3467.0,5532.0,5.88,Rosa
82,18.72,16.19,0.8977,6006.0,3857.0,5324.0,5879.0,Rosa
83,20.2,16.89,0.8894,6285.0,3864.0,5173.0,6187.0,Rosa
84,19.57,16.74,0.8779,6384.0,3772.0,1472.0,6273.0,Rosa
85,19.51,16.71,878.0,6366.0,3801.0,2962.0,6185.0,Rosa
86,18.27,16.09,887.0,6173.0,3651.0,2443.0,6197.0,Rosa
87,18.88,16.26,0.8969,6084.0,3764.0,1649.0,6109.0,Rosa
88,18.98,16.66,859.0,6549.0,3.67,3691.0,6498.0,Rosa
89,21.18,17.21,0.8989,6573.0,4033.0,5.78,6231.0,Rosa
90,20.88,17.05,0.9031,6.45,4032.0,5016.0,6321.0,Rosa
91,20.1,16.99,0.8746,6581.0,3785.0,1955.0,6449.0,Rosa
92,18.76,16.2,0.8984,6172.0,3796.0,3.12,6053.0,Rosa
93,18.81,16.29,0.8906,6272.0,3693.0,3237.0,6053.0,Rosa
94,18.59,16.05,0.9066,6037.0,3.86,6001.0,5877.0,Rosa
95,18.36,16.52,0.8452,6666.0,3485.0,4933.0,6448.0,Rosa
96,16.87,15.65,0.8648,6139.0,3463.0,3696.0,5967.0,Rosa
97,19.31,16.59,0.8815,6341.0,3.81,3477.0,6238.0,Rosa
98,18.98,16.57,0.8687,6449.0,3552.0,2144.0,6453.0,Rosa
99,18.17,16.26,0.8637,6271.0,3512.0,2853.0,6273.0,Rosa
100,18.72,16.34,881.0,6219.0,3684.0,2188.0,6097.0,Rosa
101,16.41,15.25,0.8866,5718.0,3525.0,4217.0,5618.0,Rosa
102,17.99,15.86,0.8992,5.89,3694.0,2068.0,5837.0,Rosa
103,19.46,16.5,0.8985,6113.0,3892.0,4308.0,6009.0,Rosa
104,19.18,16.63,0.8717,6369.0,3681.0,3357.0,6229.0,Rosa
105,18.95,16.42,0.8829,6248.0,3755.0,3368.0,6148.0,Rosa
106,18.83,16.29,0.8917,6037.0,3786.0,2553.0,5879.0,Rosa
107,18.85,16.17,0.9056,6152.0,3806.0,2843.0,6.2,Rosa
108,17.63,15.86,0.88,6033.0,3573.0,3747.0,5929.0,Rosa
109,19.94,16.92,0.8752,6675.0,3763.0,3252.0,6.55,Rosa
110,18.55,16.22,0.8865,6153.0,3674.0,1738.0,5894.0,Rosa
111,18.45,16.12,0.8921,6107.0,3769.0,2235.0,5794.0,Rosa
112,19.38,16.72,0.8716,6303.0,3791.0,3678.0,5965.0,Rosa
113,19.13,16.31,0.9035,6183.0,3902.0,2109.0,5924.0,Rosa
114,19.14,16.61,0.8722,6259.0,3737.0,6682.0,6053.0,Rosa
115,20.97,17.25,0.8859,6563.0,3991.0,4677.0,6316.0,Rosa
116,19.06,16.45,0.8854,6416.0,3719.0,2248.0,6163.0,Rosa
117,18.96,16.2,0.9077,6051.0,3897.0,4334.0,5.75,Rosa
118,19.15,16.45,889.0,6245.0,3815.0,3084.0,6185.0,Rosa
119,18.89,16.23,0.9008,6227.0,3769.0,3639.0,5966.0,Rosa
120,20.03,16.9,0.8811,6493.0,3857.0,3063.0,6.32,Rosa
121,20.24,16.91,0.8897,6315.0,3962.0,5901.0,6188.0,Rosa
122,18.14,16.12,0.8772,6059.0,3563.0,3619.0,6011.0,Rosa
123,16.17,15.38,0.8588,5762.0,3387.0,4286.0,5703.0,Rosa
124,18.43,15.97,0.9077,5.98,3771.0,2984.0,5905.0,Rosa
125,15.99,14.89,0.9064,5363.0,3582.0,3336.0,5144.0,Rosa
126,18.75,16.18,0.8999,6111.0,3869.0,4188.0,5992.0,Rosa
127,18.65,16.41,0.8698,6285.0,3594.0,4391.0,6102.0,Rosa
128,17.98,15.85,0.8993,5979.0,3687.0,2257.0,5919.0,Rosa
129,20.16,17.03,0.8735,6513.0,3773.0,1.91,6185.0,Rosa
130,17.55,15.66,0.8991,5791.0,3.69,5366.0,5661.0,Rosa
131,18.3,15.89,0.9108,5979.0,3755.0,2837.0,5962.0,Rosa
132,18.94,16.32,0.8942,6144.0,3825.0,2908.0,5949.0,Rosa
133,15.38,14.9,0.8706,5884.0,3268.0,4462.0,5795.0,Rosa
134,16.16,15.33,0.8644,5845.0,3395.0,4266.0,5795.0,Rosa
135,15.56,14.89,0.8823,5776.0,3408.0,4972.0,5847.0,Rosa
136,15.38,14.66,899.0,5477.0,3465.0,3.6,5439.0,Rosa
137,17.36,15.76,0.8785,6145.0,3574.0,3526.0,5971.0,Rosa
138,15.57,15.15,0.8527,5.92,3231.0,2.64,5879.0,Rosa
139,15.6,15.11,858.0,5832.0,3286.0,2725.0,5752.0,Rosa
140,16.23,15.18,885.0,5872.0,3472.0,3769.0,5922.0,Rosa
141,13.07,13.92,848.0,5472.0,2994.0,5304.0,5395.0,Canadian
142,13.32,13.94,0.8613,5541.0,3073.0,7035.0,5.44,Canadian
143,13.34,13.95,862.0,5389.0,3074.0,5995.0,5307.0,Canadian
144,12.22,13.32,0.8652,5224.0,2967.0,5469.0,5221.0,Canadian
145,11.82,13.4,0.8274,5314.0,2777.0,4471.0,5178.0,Canadian
146,11.21,13.13,0.8167,5279.0,2687.0,6169.0,5275.0,Canadian
147,11.43,13.13,0.8335,5176.0,2719.0,2221.0,5132.0,Canadian
148,12.49,13.46,0.8658,5267.0,2967.0,4421.0,5002.0,Canadian
149,12.7,13.71,0.8491,5386.0,2911.0,3.26,5316.0,Canadian
150,10.79,12.93,0.8107,5317.0,2648.0,5462.0,5194.0,Canadian
151,11.83,13.23,0.8496,5263.0,2.84,5195.0,5307.0,Canadian
152,12.01,13.52,0.8249,5405.0,2776.0,6992.0,5.27,Canadian
153,12.26,13.6,0.8333,5408.0,2833.0,4756.0,5.36,Canadian
154,11.18,13.04,0.8266,5.22,2693.0,3332.0,5001.0,Canadian
155,11.36,13.05,0.8382,5175.0,2755.0,4048.0,5263.0,Canadian
156,11.19,13.05,0.8253,5.25,2675.0,5813.0,5219.0,Canadian
157,11.34,12.87,0.8596,5053.0,2849.0,3347.0,5003.0,Canadian
158,12.13,13.73,0.8081,5394.0,2745.0,4825.0,5.22,Canadian
159,11.75,13.52,0.8082,5444.0,2678.0,4378.0,5.31,Canadian
160,11.49,13.22,0.8263,5304.0,2695.0,5388.0,5.31,Canadian
161,12.54,13.67,0.8425,5451.0,2879.0,3082.0,5491.0,Canadian
162,12.02,13.33,0.8503,5.35,2.81,4271.0,5308.0,Canadian
163,12.05,13.41,0.8416,5267.0,2847.0,4988.0,5046.0,Canadian
164,12.55,13.57,0.8558,5333.0,2968.0,4419.0,5176.0,Canadian
165,11.14,12.79,0.8558,5011.0,2794.0,6388.0,5049.0,Canadian
166,12.1,13.15,0.8793,5105.0,2941.0,2201.0,5056.0,Canadian
167,12.44,13.59,0.8462,5319.0,2897.0,4924.0,5.27,Canadian
168,12.15,13.45,0.8443,5417.0,2837.0,3638.0,5338.0,Canadian
169,11.35,13.12,0.8291,5176.0,2668.0,4337.0,5132.0,Canadian
170,11.24,13.0,0.8359,5.09,2715.0,3521.0,5088.0,Canadian
171,11.02,13.0,0.8189,5325.0,2701.0,6735.0,5163.0,Canadian
172,11.55,13.1,0.8455,5167.0,2845.0,6715.0,4956.0,Canadian
173,11.27,12.97,0.8419,5088.0,2763.0,4309.0,5.0,Canadian
174,11.4,13.08,0.8375,5136.0,2763.0,5588.0,5089.0,Canadian
175,10.83,12.96,0.8099,5278.0,2641.0,5182.0,5185.0,Canadian
176,10.8,12.57,859.0,4981.0,2821.0,4773.0,5063.0,Canadian
177,11.26,13.01,0.8355,5186.0,2.71,5335.0,5092.0,Canadian
178,10.74,12.73,0.8329,5145.0,2642.0,4702.0,4963.0,Canadian
179,11.48,13.05,0.8473,5.18,2758.0,5876.0,5002.0,Canadian
180,12.21,13.47,0.8453,5357.0,2893.0,1661.0,5178.0,Canadian
181,11.41,12.95,856.0,5.09,2775.0,4957.0,4825.0,Canadian
182,12.46,13.41,0.8706,5236.0,3017.0,4987.0,5147.0,Canadian
183,12.19,13.36,0.8579,5.24,2909.0,4857.0,5158.0,Canadian
184,11.65,13.07,0.8575,5108.0,2.85,5209.0,5135.0,Canadian
185,12.89,13.77,0.8541,5495.0,3026.0,6185.0,5316.0,Canadian
186,11.56,13.31,0.8198,5363.0,2683.0,4062.0,5182.0,Canadian
187,11.81,13.45,0.8198,5413.0,2716.0,4898.0,5352.0,Canadian
188,10.91,12.8,0.8372,5088.0,2675.0,4179.0,4956.0,Canadian
189,11.23,12.82,0.8594,5089.0,2821.0,7524.0,4957.0,Canadian
190,10.59,12.41,0.8648,4899.0,2787.0,4975.0,4794.0,Canadian
191,10.93,12.8,839.0,5046.0,2717.0,5398.0,5045.0,Canadian
192,11.27,12.86,0.8563,5091.0,2804.0,3985.0,5001.0,Canadian
193,11.87,13.02,0.8795,5132.0,2953.0,3597.0,5132.0,Canadian
194,10.82,12.83,0.8256,5.18,2.63,4853.0,5089.0,Canadian
195,12.11,13.27,0.8639,5236.0,2975.0,4132.0,5012.0,Canadian
196,12.8,13.47,886.0,5.16,3126.0,4873.0,4914.0,Canadian
197,12.79,13.53,0.8786,5224.0,3054.0,5483.0,4958.0,Canadian
198,13.37,13.78,0.8849,5.32,3128.0,4.67,5091.0,Canadian
199,12.62,13.67,0.8481,5.41,2911.0,3306.0,5231.0,Canadian
200,12.76,13.38,0.8964,5073.0,3155.0,2828.0,4.83,Canadian
201,12.38,13.44,0.8609,5219.0,2989.0,5472.0,5045.0,Canadian
202,12.67,13.32,0.8977,4984.0,3135.0,2.3,4745.0,Canadian
203,11.18,12.72,868.0,5009.0,2.81,4051.0,4828.0,Canadian
204,12.7,13.41,0.8874,5183.0,3091.0,8456.0,5.0,Canadian
205,12.37,13.47,0.8567,5204.0,2.96,3919.0,5001.0,Canadian
206,12.19,13.2,0.8783,5137.0,2981.0,3631.0,4.87,Canadian
207,11.23,12.88,0.8511,5.14,2795.0,4325.0,5003.0,Canadian
208,13.2,13.66,0.8883,5236.0,3232.0,8315.0,5056.0,Canadian
209,11.84,13.21,0.8521,5175.0,2836.0,3598.0,5044.0,Canadian
210,12.3,13.34,0.8684,5243.0,2974.0,5637.0,5063.0,Canadian
186,11.56,13.31,0.8198,5363.0,2683.0,4062.0,5182.0,Canadian
187,11.81,13.45,0.8198,5413.0,2716.0,4898.0,5352.0,Canadian
188,10.91,12.8,0.8372,5088.0,2675.0,4179.0,4956.0,Canadian
189,11.23,12.82,0.8594,5089.0,2821.0,7524.0,4957.0,Canadian
190,10.59,12.41,0.8648,4899.0,2787.0,4975.0,4794.0,Canadian
191,10.93,12.8,839.0,5046.0,2717.0,5398.0,5045.0,Canadian
192,11.27,12.86,0.8563,5091.0,2804.0,3985.0,5001.0,Canadian
193,11.87,13.02,0.8795,5132.0,2953.0,3597.0,5132.0,Canadian
194,10.82,12.83,0.8256,5.18,2.63,4853.0,5089.0,Canadian
195,12.11,13.27,0.8639,5236.0,2975.0,4132.0,5012.0,Canadian
196,12.8,13.47,886.0,5.16,3126.0,4873.0,4914.0,Canadian
197,12.79,13.53,0.8786,5224.0,3054.0,5483.0,4958.0,Canadian
198,13.37,13.78,0.8849,5.32,3128.0,4.67,5091.0,Canadian
199,12.62,13.67,0.8481,5.41,2911.0,3306.0,5231.0,Canadian
200,12.76,13.38,0.8964,5073.0,3155.0,2828.0,4.83,Canadian
201,12.38,13.44,0.8609,5219.0,2989.0,5472.0,5045.0,Canadian
202,12.67,13.32,0.8977,4984.0,3135.0,2.3,4745.0,Canadian
203,11.18,12.72,868.0,5009.0,2.81,4051.0,4828.0,Canadian
204,12.7,13.41,0.8874,5183.0,3091.0,8456.0,5.0,Canadian
205,12.37,13.47,0.8567,5204.0,2.96,3919.0,5001.0,Canadian
206,12.19,13.2,0.8783,5137.0,2981.0,3631.0,4.87,Canadian
207,11.23,12.88,0.8511,5.14,2795.0,4325.0,5003.0,Canadian
208,13.2,13.66,0.8883,5236.0,3232.0,8315.0,5056.0,Canadian
209,11.84,13.21,0.8521,5175.0,2836.0,3598.0,5044.0,Canadian
210,12.3,13.34,0.8684,5243.0,2974.0,5637.0,5063.0,Canadian
53,14.49,14.61,0.8538,5715.0,3113.0,4116.0,5396.0,Kama
54,14.33,14.28,0.8831,5504.0,3199.0,3328.0,5224.0,Kama
55,14.52,14.6,0.8557,5741.0,3113.0,1481.0,5487.0,Kama
56,15.03,14.77,0.8658,5702.0,3212.0,1933.0,5439.0,Kama
57,14.46,14.35,0.8818,5388.0,3377.0,2802.0,5044.0,Kama
58,14.92,14.43,0.9006,5384.0,3412.0,1142.0,5088.0,Kama
59,15.38,14.77,0.8857,,,,,Kama
60,12.11,13.47,0.8392,,,,,Kama
61,11.42,12.86,0.8683,,,,,Kama
62,11.23,12.63,884.0,,,,,Kama
63,12.36,13.19,0.8923,,,,,Kama
64,13.22,13.84,868.0,5395.0,3.07,4157.0,5088.0,Kama
65,12.78,13.57,0.8716,5262.0,3026.0,1176.0,4782.0,Kama
66,12.88,13.5,0.8879,5139.0,3119.0,2352.0,4607.0,Kama
67,14.34,14.37,0.8726,5.63,3.19,1313.0,5.15,Kama
68,14.01,14.29,0.8625,5609.0,3158.0,2217.0,5132.0,Kama
69,14.37,14.39,0.8726,5569.0,3153.0,1464.0,5.3,Kama
70,12.73,13.75,0.8458,,2882.0,3533.0,5067.0,Kama
71,17.63,15.98,0.8673,,3561.0,4076.0,6.06,Rosa
72,16.84,15.67,0.8623,,3484.0,4675.0,5877.0,Rosa
73,17.26,15.73,0.8763,,3594.0,4539.0,5791.0,Rosa
74,19.11,16.26,0.9081,,3.93,2936.0,6079.0,Rosa
75,16.82,15.51,0.8786,6017.0,3486.0,4004.0,5841.0,Rosa
76,16.77,15.62,0.8638,5927.0,3438.0,4.92,5795.0,Rosa
77,17.32,15.91,0.8599,6064.0,3403.0,3824.0,5922.0,Rosa
78,20.71,17.23,0.8763,6579.0,3814.0,,6451.0,Rosa
79,18.94,16.49,875.0,6445.0,3639.0,,6362.0,Rosa
80,17.12,15.55,0.8892,5.85,3566.0,,5746.0,Rosa
81,16.53,15.34,0.8823,5875.0,3467.0,5532.0,5.88,Rosa
82,18.72,16.19,0.8977,6006.0,3857.0,5324.0,5879.0,Rosa
83,20.2,16.89,0.8894,6285.0,3864.0,5173.0,6187.0,Rosa
